,Unnamed: 0.1,Unnamed: 0,text,scores,boxes,centroid,source,latitude,longitude,nama,kategori,telp,alamat,website,last_review,date_last_review,last_review_rating,link
310,310,314,suryal,0.8979719281196594,"[[1530.0, 226.0], [1585.0, 184.0], [1601.0, 206.0], [1546.0, 247.0]]",POINT (1565.6249661521797 215.63146493365826),"https://www.google.com/maps/@-6.9118463,106.9333342,20z?",,,,,,,,,,,
311,311,315,kiko bakes sukabumi,0.9942938685417176,"[[1056.0, 265.0], [1226.0, 265.0], [1226.0, 291.0], [1056.0, 291.0]]",POINT (1141 278),"https://www.google.com/maps/@-6.9118463,106.9333342,20z?",-6.9116401,106.9336738,Kiko bakes sukabumi,Toko Roti,Telepon: 0821-2451-2409 ,"Alamat: Jl. Surya Kencana No.89, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114 ",,,seminggu lalu,5 bintang,"https://www.google.com/maps/place/Kiko+bakes+sukabumi/@-6.9118463,106.9333342,20z/data=!4m6!3m5!1s0x2e68494ba8a0175b:0x96292da01533320a!8m2!3d-6.9116401!4d106.9336738!16s%2Fg%2F11v02tsyv5?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
312,312,316,skbm resto & cafe,0.9861980080604552,"[[1080.0, 403.0], [1234.0, 401.0], [1234.0, 422.0], [1080.0, 425.0]]",POINT (1156.4031007751937 412.7596899224806),"https://www.google.com/maps/@-6.9118463,106.9333342,20z?",-6.9118047,106.9336239,SKBM Resto & Cafe,Restoran,Telepon: 0821-2451-2419 ,"Alamat: Jl. Surya Kencana No.89, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114 ",,,3 minggu lalu,4 bintang,"https://www.google.com/maps/place/SKBM+Resto+%26+Cafe/@-6.9118463,106.9333342,20z/data=!4m6!3m5!1s0x2e6849daef744235:0x5f6f0b8087655ff1!8m2!3d-6.9118047!4d106.9336239!16s%2Fg%2F11s5czm1d2?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
313,313,317,o mi ami photo,0.95407634973526,"[[266.0, 510.0], [382.0, 510.0], [382.0, 532.0], [266.0, 532.0]]",POINT (324 521),"https://www.google.com/maps/@-6.9118463,106.9333342,20z?",-6.9119642,106.93242,Mi Ami Photo,Fotografer Pernikahan,Telepon: 0896-5549-1101 ,"Alamat: Jl.Kaswari Gg.Merpati RT.06, Jl. Kaswari Gg. Merpati No.18 09, Selabatu, Kota Sukabumi, Jawa Barat 43114 ",Situs Web: instagram.com ,,,,"https://www.google.com/maps/place/Mi+Ami+Photo/@-6.9119642,106.9320982,20z/data=!4m6!3m5!1s0x2e68495198376f0f:0x7bb1022570fe0e99!8m2!3d-6.9119642!4d106.93242!16s%2Fg%2F11kykxbss2?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
314,314,318,starbucks cell,0.956938624382019,"[[1088.0, 528.0], [1206.0, 528.0], [1206.0, 550.0], [1088.0, 550.0]]",POINT (1147 539),"https://www.google.com/maps/@-6.9118463,106.9333342,20z?",-6.9119861,106.9336425,Starbucks cell,Toko bahan makanan,Telepon: 0857-5974-5675 ,"Alamat: Jl. Surya Kencana No.85, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114 ",,,2 tahun lalu,5 bintang,"https://www.google.com/maps/place/Starbucks+cell/@-6.9118463,106.9333342,20z/data=!4m6!3m5!1s0x2e6849ca84e8b5e5:0xd942bf73e58f9525!8m2!3d-6.9119861!4d106.9336425!16s%2Fg%2F11hdsccjn2?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
315,315,319,pentol & sempol,0.9988872408866882,"[[1322.0, 520.0], [1424.0, 522.0], [1424.0, 542.0], [1322.0, 540.0]]",POINT (1373 531),"https://www.google.com/maps/@-6.9118463,106.9333342,20z?",-6.9119879,106.9337942,Pentol & sempol suryakencana,Kedai Kopi,Telepon: 0816-222-681 ,"Alamat: Jl. Surya Kencana, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114 ",,,2 tahun lalu,5 bintang,"https://www.google.com/maps/place/Pentol+%26+sempol+suryakencana/@-6.9118463,106.9333342,20z/data=!4m6!3m5!1s0x2e68495d895cb85d:0x3c9d439021389bd5!8m2!3d-6.9119879!4d106.9337942!16s%2Fg%2F11rvf_wcdg?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
316,316,320,o rendy nico,0.973633348941803,"[[963.0, 596.0], [1078.0, 600.0], [1077.0, 628.0], [962.0, 624.0]]",POINT (1020 612),"https://www.google.com/maps/@-6.9118463,106.9333342,20z?",-6.9120861,106.9333558,RENDY NICO,Servis Komputer,Telepon: 0858-6055-5565 ,"Alamat: Jl. Surya Kencana Gg. Karimin, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114 ",Situs Web: facebook.com ,Mantap banget pelayanan nya,setahun lalu,5 bintang,"https://www.google.com/maps/place/RENDY+NICO/@-6.9118463,106.9333342,20z/data=!4m6!3m5!1s0x2e6849eee6151f35:0xb177c9461712f6ef!8m2!3d-6.9120861!4d106.9333558!16s%2Fg%2F11pdpmqrjt?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
317,317,321,kedai cerita lama,0.9177311658859252,"[[388.0, 648.0], [540.0, 648.0], [540.0, 682.0], [388.0, 682.0]]",POINT (464 665),"https://www.google.com/maps/@-6.9118463,106.9333342,20z?",-6.9121533,106.9325853,Kedai Cerita Lama,Rumah Makan,Telepon: 0815-3664-0819 ,"Alamat: Jl. Kaswari Gg. Merpati, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43144 ",,,,,"https://www.google.com/maps/place/Kedai+Cerita+Lama/@-6.9121532,106.9322635,20z/data=!4m6!3m5!1s0x2e684944fed7c665:0x375a283430d10fe6!8m2!3d-6.9121533!4d106.9325853!16s%2Fg%2F11shq6hs4z?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
318,318,322,tenda sarapan pagi,0.9786685705184937,"[[1061.0, 665.0], [1216.0, 672.0], [1215.0, 698.0], [1060.0, 691.0]]",POINT (1138 681.5),"https://www.google.com/maps/@-6.9118463,106.9333342,20z?",-6.9121835,106.9336623,Tenda sarapan pagi,Kedai Sarapan,Telepon: 0815-3664-0819 ,"Alamat: Jl. Surya Kencana, Selabatu, Kec. Cikole, Kabupaten Sukabumi, Jawa Barat 43114 ",,,11 bulan lalu,5 bintang,"https://www.google.com/maps/place/Tenda+sarapan+pagi/@-6.9118463,106.9333342,20z/data=!4m6!3m5!1s0x2e684967f2fd3847:0xf4e8c7f029ef47c0!8m2!3d-6.9121835!4d106.9336623!16s%2Fg%2F11v0jsc_7w?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
319,319,323,bimala grocery,0.9707447290420532,"[[452.0, 769.0], [580.0, 772.0], [580.0, 793.0], [452.0, 791.0]]",POINT (515.5038759689922 781.2403100775194),"https://www.google.com/maps/@-6.9118463,106.9333342,20z?",-6.9123103,106.9326711,Bimala Grocery,Toko bahan makanan,,"Alamat: 3WQM+33F, Gg. Merpati, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114 ",,,setahun lalu,5 bintang,"https://www.google.com/maps/place/Bimala+Grocery/@-6.912312,106.9323486,20z/data=!4m6!3m5!1s0x2e684929f2ce70a3:0xb7107c5da06eb5db!8m2!3d-6.9123103!4d106.9326711!16s%2Fg%2F11t9rfgng6?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
320,320,324,1,0.7933868765830994,"[[1878.0, 811.0], [1892.0, 811.0], [1892.0, 835.0], [1878.0, 835.0]]",POINT (1885 823),"https://www.google.com/maps/@-6.9118463,106.9333342,20z?",,,,,,,,,,,
321,321,325,n atm,0.9820715188980104,"[[1250.0, 28.0], [1326.0, 28.0], [1326.0, 48.0], [1250.0, 48.0]]",POINT (1288 38),"https://www.google.com/maps/@-6.9106547,106.9333342,20z?",,,,,,,,,,,
322,322,326,ntrakan hijau,0.9742289185523988,"[[412.0, 94.0], [494.0, 94.0], [494.0, 108.0], [412.0, 108.0]]",POINT (453 101),"https://www.google.com/maps/@-6.9106547,106.9333342,20z?",-6.9101922,106.9325709,Kontrakan Hijau Pak H. Yaman,Komplek perumahan,,"Alamat: 3WQM+W2G, Sukabumi, Selabatu, Cikole, Sukabumi City, West Java 43114 ",,,,,"https://www.google.com/maps/place/Kontrakan+Hijau+Pak+H.+Yaman/@-6.9102208,106.9322313,20z/data=!4m6!3m5!1s0x2e6849005228cf1d:0x6903241afc3de80d!8m2!3d-6.9101922!4d106.9325709!16s%2Fg%2F11w33h1xk5?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
323,323,327,vj tart w,0.949687659740448,"[[150.0, 241.0], [228.0, 241.0], [228.0, 263.0], [150.0, 263.0]]",POINT (189 252),"https://www.google.com/maps/@-6.9106547,106.9333342,20z?",-6.9104158,106.9323371,VJ Tart,Toko Roti,Telepon: 0858-6141-5951 ,"Alamat: 3WQJ+RWP, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114 ",,,,,"https://www.google.com/maps/place/VJ+Tart/@-6.9104158,106.932015,20z/data=!4m6!3m5!1s0x2e68491d6506718b:0x57c6b1e4289b4de5!8m2!3d-6.9104158!4d106.9323371!16s%2Fg%2F11fl3zdgd3?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
324,324,328,ato,0.7207927107810974,"[[64.0, 251.0], [119.0, 239.0], [124.0, 263.0], [69.0, 275.0]]",POINT (94 257),"https://www.google.com/maps/@-6.9106547,106.9333342,20z?",-6.9103612,106.9321903,3WQJ+RVP,,,,,,,,"https://www.google.com/maps/place/3WQJ%2BRVP,+Jl.+Tubagus+Abdullah+Gg.+Karimin+No.2,+RT.07%2FRW.08,+Selabatu,+Kec.+Cikole,+Kota+Sukabumi,+Jawa+Barat+43114/@-6.9103612,106.9318684,20z/data=!4m6!3m5!1s0x2e6849cb1a83ef41:0xd9ba528b159e1326!8m2!3d-6.9103612!4d106.9321903!16s%2Fg%2F11p6596x80?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
325,325,329,siomidong,0.9282082915306092,"[[170.0, 343.0], [284.0, 343.0], [284.0, 365.0], [170.0, 365.0]]",POINT (227 354),"https://www.google.com/maps/@-6.9106547,106.9333342,20z?",-6.9105507,106.9324109,SIOMIDONG,Pusat Perkumpulan Remaja,,"Alamat: 3WQJ+QXF, Unnamed Road, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114 ",,,,,"https://www.google.com/maps/place/SIOMIDONG/@-6.9105506,106.9320891,20z/data=!4m6!3m5!1s0x2e6849354ec6cb6f:0xf0658c6fcdbfd328!8m2!3d-6.9105507!4d106.9324109!16s%2Fg%2F11rgr7mdpp?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
326,326,330,siomidong style o,0.9449601769447328,"[[128.0, 395.0], [288.0, 390.0], [288.0, 416.0], [128.0, 421.0]]",POINT (208 405.5),"https://www.google.com/maps/@-6.9106547,106.9333342,20z?",-6.9106227,106.9324239,SIOMIDONG STYLE,Agen Properti,,"Alamat: 3WQJ+QX3, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114 ",,Hanya lewat,9 bulan lalu,5 bintang,"https://www.google.com/maps/place/SIOMIDONG+STYLE/@-6.9106195,106.9320948,20z/data=!4m6!3m5!1s0x2e68491f0205cef9:0xdfb25a0c0bca3292!8m2!3d-6.9106227!4d106.9324239!16s%2Fg%2F11rsfzbhy9?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
327,327,331,o sintania salon,0.9699172973632812,"[[736.0, 404.0], [868.0, 409.0], [868.0, 431.0], [736.0, 426.0]]",POINT (802 417.5),"https://www.google.com/maps/@-6.9106547,106.9333342,20z?",-6.9106323,106.9330371,Sintania Salon,Salon Kecantikan,Telepon: 0858-6004-3400 ,"Alamat: Jl. Tubagus Abdullah No.59, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114 ",,Terimakasih sudah beekunjung ke sintania salon,5 tahun lalu,5 bintang,"https://www.google.com/maps/place/Sintania+Salon/@-6.9106547,106.9333342,20z/data=!4m6!3m5!1s0x2e6849cae1d04a3b:0x7ebf4fdc3d89ef7a!8m2!3d-6.9106323!4d106.9330371!16s%2Fg%2F1pzx_y43r?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
328,328,332,omitra tk suanda,0.9487983584403992,"[[378.0, 444.0], [514.0, 449.0], [514.0, 471.0], [378.0, 466.0]]",POINT (446 457.5),"https://www.google.com/maps/@-6.9106547,106.9333342,20z?",-6.9106885,106.9325752,Mitra Tk Suanda,,,"Alamat: Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat ",,,,,"https://www.google.com/maps/place/Mitra+Tk+Suanda/@-6.9106884,106.9322534,20z/data=!4m6!3m5!1s0x2e6849cb1ed7cb1f:0xfbf54502c1390d9d!8m2!3d-6.9106885!4d106.9325752!16s%2Fg%2F11sd8sp0wd?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
329,329,333,bbpat sukabumi,0.9822552800178528,"[[930.0, 435.0], [1070.0, 435.0], [1070.0, 456.0], [930.0, 456.0]]",POINT (1000 445.5),"https://www.google.com/maps/@-6.9106547,106.9333342,20z?",-6.9106716,106.9333123,BBPAT Sukabumi,Kantor Pemerintah,,"Alamat: 3WQM+P8M, Selabatu, Kec. Cikole, Kabupaten Sukabumi, Jawa Barat 43114 ",,,3 tahun lalu,5 bintang,"https://www.google.com/maps/place/BBPAT+Sukabumi/@-6.9106547,106.9333342,20z/data=!4m6!3m5!1s0x2e6849caf4229a1d:0x7eb17a881505c0ed!8m2!3d-6.9106716!4d106.9333123!16s%2Fg%2F11gd1npj6g?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
330,330,334,ariesty cake w,0.938653528690338,"[[584.0, 466.0], [692.0, 466.0], [692.0, 488.0], [584.0, 488.0]]",POINT (638 477),"https://www.google.com/maps/@-6.9106547,106.9333342,20z?",-6.9107138,106.9329617,Ariesty Cake,Toko Roti,Telepon: (0266) 211689 ,"Alamat: Jl. Tubagus Abdullah No.12, Selabatu, Kec. Cikole, Kabupaten Sukabumi, Jawa Barat 43114 ",,"Ariesty Cake merupakan toko kue dan roti yang menawarkan rasa lezat dengan harga terjangkau. Meskipun terdapat beberapa kekurangan seperti minimnya informasi online dan tempat parkir yang terbatas, Ariesty Cake tetap menjadi pilihan yang patut dipertimbangkan bagi pecinta kue dan roti di Sukabumi",9 bulan lalu,4 bintang,"https://www.google.com/maps/place/Ariesty+Cake/@-6.9106547,106.9333342,20z/data=!4m6!3m5!1s0x2e6849cae1cb521d:0x8c68563ffd1b010e!8m2!3d-6.9107138!4d106.9329617!16s%2Fg%2F1pzsncf86?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
331,331,335,thata salon o,0.9512546062469482,"[[666.0, 510.0], [774.0, 510.0], [774.0, 532.0], [666.0, 532.0]]",POINT (720 521),"https://www.google.com/maps/@-6.9106547,106.9333342,20z?",-6.910778,106.9330686,Thata Salon,Salon Kecantikan,,"Alamat: 3WQM+M6P, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114 ",,,3 tahun lalu,5 bintang,"https://www.google.com/maps/place/Thata+Salon/@-6.9106547,106.9333342,20z/data=!4m6!3m5!1s0x2e6849cae06729d1:0xdcb3bebd5b18a41a!8m2!3d-6.910778!4d106.9330686!16s%2Fg%2F11bxf51r8k?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
332,332,336,mama heryza house o,0.9320833086967468,"[[760.0, 562.0], [926.0, 562.0], [926.0, 588.0], [760.0, 588.0]]",POINT (843 575),"https://www.google.com/maps/@-6.9106547,106.9333342,20z?",-6.9108017,106.9332839,Mama Heryza House,Komplek perumahan,,"Alamat: Jl. Tubagus Abdullah No.1, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114 ",,,,,"https://www.google.com/maps/place/Mama+Heryza+House/@-6.9106547,106.9333342,20z/data=!4m6!3m5!1s0x2e6849be50417361:0xa417d038a6f33fbc!8m2!3d-6.9108017!4d106.9332839!16s%2Fg%2F11sw45kvch?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
333,333,337,mesid anur,0.6474435925483704,"[[1048.0, 656.0], [1172.0, 656.0], [1172.0, 698.0], [1048.0, 698.0]]",POINT (1110 677),"https://www.google.com/maps/@-6.9106547,106.9333342,20z?",-6.9109787,106.9335952,Mesjid an'nur,Masjid,,"Alamat: 3WQM+JC5, Jl. Tubagus Abdullah, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114 ",,,,,"https://www.google.com/maps/place/Mesjid+an'nur/@-6.9106547,106.9333342,20z/data=!4m6!3m5!1s0x2e6849a43b45868b:0x6f3168b4a83169ec!8m2!3d-6.9109787!4d106.9335952!16s%2Fg%2F11h3nmt28s?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
334,334,338,madu ubar,0.943799078464508,"[[652.0, 714.0], [762.0, 714.0], [762.0, 742.0], [652.0, 742.0]]",POINT (707 728),"https://www.google.com/maps/@-6.9106547,106.9333342,20z?",-6.9110484,106.9329383,Madu Ubar,Toko Makanan Sehat,Telepon: 0812-1971-9227 ,"Alamat: Jl. Surya Kencana Gg. Karimin No.48 RT.02/08, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114 ",,💥 …,setahun lalu,5 bintang,"https://www.google.com/maps/place/Madu+Ubar/@-6.9106547,106.9333342,20z/data=!4m6!3m5!1s0x2e6849f354301817:0x83f7d469910dd441!8m2!3d-6.9110484!4d106.9329383!16s%2Fg%2F11q1t101rn?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
335,335,339,kedai kop,0.9996235966682434,"[[1858.0, 716.0], [1918.0, 716.0], [1918.0, 738.0], [1858.0, 738.0]]",POINT (1888 727),"https://www.google.com/maps/@-6.9106547,106.9333342,20z?",-6.9110476,106.9346821,Kedai Kopi 35,Kafe,Telepon: 0895-3783-54466 ,"Alamat: Jl. Surya Kencana No.101, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114 ",,Bagus asik buat nongkrong,4 minggu lalu,5 bintang,"https://www.google.com/maps/place/Kedai+Kopi+35/@-6.9110462,106.9343566,20z/data=!4m6!3m5!1s0x2e6849745e51467f:0xaddf5df328382c4!8m2!3d-6.9110476!4d106.9346821!16s%2Fg%2F11gk6pwy1q?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
336,336,340,warnet yd o,0.9439098238945008,"[[336.0, 756.0], [436.0, 753.0], [436.0, 775.0], [336.0, 778.0]]",POINT (386 765.5),"https://www.google.com/maps/@-6.9106547,106.9333342,20z?",-6.9110976,106.9326183,Warnet YD,Warnet,Telepon: 0857-2045-5424 ,"Alamat: 3WQM+H29, Jl. Surya Kencana Gg. Karimin, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114 ",,,6 bulan lalu,5 bintang,"https://www.google.com/maps/place/Warnet+YD/@-6.9110975,106.9322967,20z/data=!4m6!3m5!1s0x2e68495277b5eaa7:0x686278f429ec8ead!8m2!3d-6.9110976!4d106.9326183!16s%2Fg%2F11flkbpsf8?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
337,337,341,enam lima satu o,0.9651205539703368,"[[1420.0, 751.0], [1548.0, 751.0], [1548.0, 773.0], [1420.0, 773.0]]",POINT (1484 762),"https://www.google.com/maps/@-6.9106547,106.9333342,20z?",-6.9110601,106.9341093,Enam Lima Satu,Pusat Belajar,,"Alamat: 3WQM+HJH, Unnamed Road, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114 ",,Ini cerita awal tentang persistensi semangat,2 tahun lalu,5 bintang,"https://www.google.com/maps/place/Enam+Lima+Satu/@-6.9106547,106.9333342,20z/data=!4m6!3m5!1s0x2e6849810a918cc9:0xfcb40a221024b0b!8m2!3d-6.9110601!4d106.9341093!16s%2Fg%2F11j8m6m__3?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
338,338,342,o undang (uha),0.9700763821601868,"[[1224.0, 64.0], [1342.0, 64.0], [1342.0, 92.0], [1224.0, 92.0]]",POINT (1283 78),"https://www.google.com/maps/@-6.9201876,106.9358963,20z?",-6.9197173,106.936321,Undang (Uha),Komplek perumahan,,"Alamat: Jl. Siliwangi Gg. H. Marzuki No.13, RT.01/RW.09, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43112 ",,,,,"https://www.google.com/maps/place/Undang+(Uha)/@-6.9201876,106.9358963,20z/data=!4m6!3m5!1s0x2e68497b297edd5b:0x492d93739ebe97c5!8m2!3d-6.9197173!4d106.936321!16s%2Fg%2F11l6rswhkl?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
339,339,343,6,0.8583850860595703,"[[562.0, 114.0], [612.0, 114.0], [612.0, 138.0], [562.0, 138.0]]",POINT (587 126),"https://www.google.com/maps/@-6.9201876,106.9358963,20z?",-6.9195948,106.9354359,9C,Sekolah,,"Alamat: 3WJP+557, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat ",,,,,"https://www.google.com/maps/place/9C/@-6.9201876,106.9358963,20z/data=!4m6!3m5!1s0x2e6849000fd0c219:0xf788132fc687305f!8m2!3d-6.9195948!4d106.9354359!16s%2Fg%2F11y78lq812?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
340,340,344,ntral komputer,0.9970146417617798,"[[887.0, 247.0], [980.0, 251.0], [979.0, 273.0], [886.0, 269.0]]",POINT (933 260),"https://www.google.com/maps/@-6.9201876,106.9358963,20z?",-6.9199762,106.9359469,Sentral Komputer Sukabumi,Toko Komputer,Telepon: 0819-7777-4055 ,"Alamat: Jl. Siliwangi No.52, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",Situs Web: sentralkomputer.com ,"Sangat baik,setiap ada kendala dapat di bantu",1 hari lalu,5 bintang,"https://www.google.com/maps/place/Sentral+Komputer+Sukabumi/@-6.9201876,106.9358963,20z/data=!4m6!3m5!1s0x2e6849cec33660db:0xd21a2b302274c0fe!8m2!3d-6.9199762!4d106.9359469!16s%2Fg%2F11w310stlg?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
341,341,345,o warung sima,0.954895555973053,"[[384.0, 329.0], [514.0, 333.0], [514.0, 355.0], [384.0, 351.0]]",POINT (449 342),"https://www.google.com/maps/@-6.9201876,106.9358963,20z?",-6.9200677,106.935144,WARUNG SIMA,Kafe,Telepon: 0896-6868-9030 ,"Alamat: Jl. Koperasi No.16-2, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",,,8 bulan lalu,5 bintang,"https://www.google.com/maps/place/WARUNG+SIMA/@-6.9200678,106.9348223,20z/data=!4m6!3m5!1s0x2e6849420750d6b9:0xa97e7080948009c7!8m2!3d-6.9200677!4d106.935144!16s%2Fg%2F11h9g47q4c?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
342,342,346,sdn kebonjati,0.9626939296722412,"[[642.0, 324.0], [767.0, 336.0], [764.0, 364.0], [639.0, 352.0]]",POINT (703 344),"https://www.google.com/maps/@-6.9201876,106.9358963,20z?",-6.920078,106.9356109,SDN Kebonjati kota sukabumi,Sekolah Dasar,Telepon: (0266) 734057 ,"Alamat: Jl. Siliwangi No.47, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",,Sekolah sd di pusat kota,5 bulan lalu,5 bintang,"https://www.google.com/maps/place/SDN+Kebonjati+kota+sukabumi/@-6.9201876,106.9358963,20z/data=!4m6!3m5!1s0x2e6848362b7a783f:0xda3c27810e0d1d81!8m2!3d-6.920078!4d106.9356109!16s%2Fg%2F1pzqzchxn?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
343,343,347,antor,0.9961283802986144,"[[1076.0, 323.0], [1112.0, 323.0], [1112.0, 337.0], [1076.0, 337.0]]",POINT (1094 330),"https://www.google.com/maps/@-6.9201876,106.9358963,20z?",-6.9200384,106.9362117,Kantor Kelurahan Kebonjati Kecamatan Cikole,Kantor Pemerintah,Telepon: (0266) 211144 ,"Alamat: 3WHP+XFP, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",,Menyesap,2 tahun lalu,5 bintang,"https://www.google.com/maps/place/Kantor+Kelurahan+Kebonjati+Kecamatan+Cikole/@-6.9201876,106.9358963,20z/data=!4m6!3m5!1s0x2e6848482c9de589:0x6752ccb8073b845d!8m2!3d-6.9200384!4d106.9362117!16s%2Fg%2F11c48p6700?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
344,344,348,balai kb cikole,0.9698796272277832,"[[1298.0, 329.0], [1426.0, 329.0], [1426.0, 357.0], [1298.0, 357.0]]",POINT (1362 343),"https://www.google.com/maps/@-6.9201876,106.9358963,20z?",-6.9200075,106.9363706,Balai KB Cikole,Balai masyarakat,,"Alamat: 3WHP+XGX, Jl. Siliwangi Gg. H. Marzuki, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",,,,,"https://www.google.com/maps/place/Balai+KB+Cikole/@-6.9201876,106.9358963,20z/data=!4m6!3m5!1s0x2e6849002664a46b:0x18a50ae5ab38d40d!8m2!3d-6.9200075!4d106.9363706!16s%2Fg%2F11vr5phb06?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
345,345,349,kosan pak tri,0.9755558967590332,"[[1738.0, 347.0], [1866.0, 347.0], [1866.0, 369.0], [1738.0, 369.0]]",POINT (1802 358),"https://www.google.com/maps/@-6.9201876,106.9358963,20z?",-6.9200158,106.9369577,KOSAN PAK TRI,Rumah Pondokan,,"Alamat: 3WHP+XQW, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",,Alamat palsu sayah datang ke lokasi malah tempat fotocopy,4 bulan lalu,1 bintang,"https://www.google.com/maps/place/KOSAN+PAK+TRI/@-6.9201876,106.9358963,20z/data=!4m6!3m5!1s0x2e6849deb57281fd:0xf7b367b1156b47f8!8m2!3d-6.9200158!4d106.9369577!16s%2Fg%2F11j7vnyt7n?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
